Symbol Name, Symbol Address, Function Size, Matched
calcDistance__2MRFPC9LiveActorPC9LiveActor,8000DBE0,C,false
calcDistanceHorizontal__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_,8000DBF0,64,false
calcDistanceHorizontal__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000DC60,58,false
calcDistanceVertical__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_,8000DCC0,6C,false
calcDistanceVertical__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000DD30,6C,false
calcDistanceToPlayer__2MRFPC9LiveActor,8000DDA0,50,false
calcDistanceToPlayerH__2MRFPC9LiveActor,8000DDF0,78,false
sub_8000DE70,8000DE70,8C,false
isNear__2MRFPC9HitSensorPC9HitSensorf,8000DF00,4C,false
squared__Q29JGeometry8TVec3_f_CFRCQ29JGeometry8TVec3_f_,8000DF50,28,false
isNear__2MRFPC9LiveActorPC9LiveActorf,8000DF80,4C,false
isNear__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_f,8000DFD0,48,false
isNearPlayer__2MRFPC9LiveActorf,8000E020,54,false
isNearPlayerAnyTime__2MRFPC9LiveActorf,8000E080,5C,false
isNearPlayer__2MRFRCQ29JGeometry8TVec3_f_f,8000E0E0,6C,false
isNearPlayerPose__2MRFPC9LiveActorff,8000E150,E8,false
squared__Q29JGeometry8TVec3_f_CFv,8000E240,18,false
getYDir__Q29JGeometry64TRotation3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___CFRQ29JGeometry8TVec3_f_,8000E260,18,false
isNearPlayerHorizontal__2MRFPC9LiveActorf,8000E280,5C,false
sub_8000E2E0,8000E2E0,5C,false
calcFrontVec__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000E340,54,false
calcUpVec__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000E3A0,54,false
calcSideVec__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000E400,54,false
sub_8000E460,8000E460,5C,false
calcPositionUpOffset__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorf,8000E4C0,5C,false
calcVecToPlayer__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000E520,44,false
sub_8000E570,8000E570,68,false
sub_8000E5E0,8000E5E0,6C,false
sub_8000E650,8000E650,14,false
sub_8000E670,8000E670,68,false
scale__Q29JGeometry8TVec3_f_Ff,8000E6E0,28,false
add__Q29JGeometry8TVec3_f_FRCQ29JGeometry8TVec3_f_,8000E710,24,false
__as__Q29JGeometry8TVec3_f_FRCQ29JGeometry8TVec3_f_,8000E740,14,false
sub_8000E760,8000E760,E4,false
sub_8000E850,8000E850,5C,false
calcVecToPlayerH__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorPCQ29JGeometry8TVec3_f_,8000E8B0,50,false
calcVecFromPlayerH__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000E900,5C,false
sub_8000E960,8000E960,54,false
set_f___Q29JGeometry8TVec3_f_FRCQ29JGeometry8TVec3_f__v,8000E9C0,1C,false
calcVecToTargetPosH__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_PCQ29JGeometry8TVec3_f_,8000E9E0,84,false
calcVecFromTargetPosH__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_PCQ29JGeometry8TVec3_f_,8000EA70,38,false
sub_8000EAB0,8000EAB0,70,false
isFaceToTargetDegree__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_f,8000EB20,68,false
isFaceToPlayerDegree__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_f,8000EB90,70,false
isFaceToTargetDegree__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_f,8000EC00,78,false
isFaceToPlayerDegree__2MRFPC9LiveActorf,8000EC80,70,false
isFaceToPlayerDegreeHV__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_ff,8000ECF0,84,false
isFaceToTargetHorizontalDegree__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_f,8000ED80,AC,false
isFaceToPlayerHorizontalDegree__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_f,8000EE30,58,false
isClockwiseToDir__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_,8000EE90,64,false
isClockwiseToPlayer__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000EF00,90,false
isPlayerLeftSide__2MRFPC9LiveActor,8000EF90,90,false
__ct_f___Q29JGeometry8TVec3_f_Ffff_Pv,8000F020,10,false
isLeftSideFromPlayer__2MRFPC9LiveActor,8000F030,7C,false
isInSightConePlayer__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_ff,8000F0B0,70,false
isInSightFanPlayer__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_fff,8000F120,80,false
isOnPlayer__2MRFPC9LiveActor,8000F1A0,4,false
isPlayerExistSide__2MRFPC9LiveActorff,8000F1B0,E4,false
isPlayerExistUp__2MRFPC9LiveActorff,8000F2A0,BC,false
isPlayerExistDown__2MRFPC9LiveActorff,8000F360,D4,false
negateInternal__9JGeometryFPCfPf,8000F440,1C,false
isInWater__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000F460,4C,false
isInDeath__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000F4B0,4C,false
sub_8000F500,8000F500,40,false
makeMtxTR__2MRFPA4_fPC9LiveActor,8000F540,1C,false
makeMtxTRS__2MRFPA4_fPC9LiveActor,8000F560,48,false
makeMtxTransRotateY__2MRFPA4_fPC9LiveActor,8000F5B0,14,false
sub_8000F5D0,8000F5D0,80,false
sub_8000F650,8000F650,78,false
calcMtxFromGravityAndZAxis__2MRFPQ29JGeometry64TPosition3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___PC9LiveActorRCQ29JGeometry8TVec3_f_RCQ29JGeometry8TVec3_f_,8000F6D0,114,false
getZDir__Q29JGeometry64TRotation3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___CFRQ29JGeometry8TVec3_f_,8000F7F0,18,false
calcMtxFromGravityAndZAxis__2MRFPQ29JGeometry64TPosition3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___PC9LiveActorRCQ29JGeometry8TVec3_f_,8000F810,C,false
calcAndSetBaseTRMtxFromGravityAndZAxis__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000F820,5C,false
sub_8000F880,8000F880,8C,false
sub_8000F910,8000F910,8C,false
sub_8000F9A0,8000F9A0,8C,false
sub_8000FA30,8000FA30,50,false
